nivel_k,frequencia_n_k,frequencia_normalizada_p_k,frequencia_acumulada_CDF,novo_nivel_s_k
185,1357,0.002277,0.514072,131
186,1367,0.002294,0.516366,132
187,1342,0.002252,0.518617,132
188,1333,0.002237,0.520854,133
189,1313,0.002203,0.523057,133
190,1372,0.002302,0.525359,134
191,1444,0.002423,0.527782,135
192,1501,0.002518,0.530300,135
193,1529,0.002565,0.532866,136
194,57610,0.096661,0.629527,161
195,1717,0.002881,0.632408,161
196,1839,0.003086,0.635493,162
197,2023,0.003394,0.638888,163
198,2169,0.003639,0.642527,164
199,2313,0.003881,0.646408,165
200,2607,0.004374,0.650782,166
201,2789,0.004680,0.655461,167
202,3110,0.005218,0.660680,168
203,3659,0.006139,0.666819,170
204,4020,0.006745,0.673564,172
205,4580,0.007685,0.681248,174
206,5278,0.008856,0.690104,176
207,5580,0.009362,0.699466,178
208,6328,0.010617,0.710084,181
209,6510,0.010923,0.721007,184
210,6762,0.011346,0.732352,187
211,7072,0.011866,0.744218,190
212,7722,0.012956,0.757174,193
213,8101,0.013592,0.770767,197
214,8705,0.014606,0.785372,200
215,9173,0.015391,0.800763,204
216,9190,0.015419,0.816183,208
217,9133,0.015324,0.831507,212
218,8535,0.014320,0.845827,216
219,8367,0.014039,0.859866,219
220,8438,0.014158,0.874023,223
221,8621,0.014465,0.888488,227
222,8669,0.014545,0.903034,230
223,7799,0.013086,0.916119,234
224,7519,0.012616,0.928735,237
225,6745,0.011317,0.940052,240
226,5815,0.009757,0.949809,242
227,4834,0.008111,0.957919,244
228,4260,0.007148,0.965067,246
229,3990,0.006695,0.971762,248
230,3748,0.006289,0.978050,249
231,3154,0.005292,0.983342,251
232,2437,0.004089,0.987431,252
233,2079,0.003488,0.990919,253
234,1606,0.002695,0.993614,253
235,1160,0.001946,0.995560,254
236,905,0.001518,0.997079,254
237,709,0.001190,0.998268,255
238,421,0.000706,0.998975,255
239,264,0.000443,0.999418,255
240,169,0.000284,0.999701,255
241,91,0.000153,0.999854,255
242,40,0.000067,0.999921,255
243,22,0.000037,0.999958,255
244,12,0.000020,0.999978,255
245,7,0.000012,0.999990,255
246,3,0.000005,0.999995,255
247,3,0.000005,1.000000,255
248,0,0.000000,1.000000,255
249,0,0.000000,1.000000,255
250,0,0.000000,1.000000,255
251,0,0.000000,1.000000,255
252,0,0.000000,1.000000,255
253,0,0.000000,1.000000,255
254,0,0.000000,1.000000,255
255,0,0.000000,1.000000,255
